Recipe Number,Recipe Name,Short Name,Station,Menu Portion Size,Menu Portion Weight(g),GTIN,Sell Price,Kcal/100g,COLOR,KCAL,FAT (g),CHO (g),Total Sugars (g),PRO (g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'17613,EUR: Dijon Roasted Red Potatoes,dijon roasted red potatoes,Main Dish- Sides,8 ounce,226.796,886721092568,$1.98 ,99.0555389,GREEN,224.654,4.216,42.183,3.483,5.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'5676.2,"HC Seasoned Peas and Pearl Onions, SR",Peas and Pearl Onions,Main Dish- Sides,1 cup,190.801,886721173229,$1.98 ,99.22379862,GREEN,189.32,7.781,23.33,7.444+,7.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'33992.79,Canteen: Roasted Red Potatoes,Roasted Potatoes,Main Dish- Sides,1 cup,259.436,886721384304,$1.98 ,100.4521346,GREEN,260.609,4.829,49.843,3.633,5.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1815,HC Spanish Rice (Western Version),Spanish Rice,Main Dish- Sides,1 cup,211.36,886721017622,$1.98 ,101.4435087,GREEN,214.411,5.398,37.773,4.418+,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'50634,HC Smashed Spiced Sweet Potatoes,Smashed Sweet Potatoes,Main Dish- Sides,1 cup,317.106,886721252504,$1.98 ,104.4644378,GREEN,331.263,4.654,68.408,23.772,6.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'134479.3,Canteen BMW: Enchilada Refried Beans,Enchilada Refried Beans,Main Dish- Sides,1/2 cup,122.418,886721414568,$1.98 ,107.5470927,GREEN,131.657,2.681,19.783,1.131,6.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'11942,EUR: Buttered Peas,buttered green peas,Main Dish- Sides,1 cup,170.034,886721069874,$1.98 ,113.5425856,GREEN,193.061,8.109,22.935,7.047,8.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'178117,Canteen BMW: Baked Beans,Baked Beans,Main Dish- Sides,1 cup,230.254,194306791202,$1.98 ,119.8941169,GREEN,276.061,1.624,55.992,27.589,7.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2144.5,Canteen BMW: Lemon Dill Rice,Lemon Dill Rice,Main Dish- Sides,1 cup,183.983,886721392538,$1.98 ,126.8975938,YELLOW,233.47,9.112,34.469,1.084+,3.449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'5277.3,EUR: Green Bean Almondine,green bean almondine,Main Dish- Sides,1 cup,257.844,886721090823,$1.98 ,133.3131661,YELLOW,343.74,30.414,17.551,7.709,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
